State,Spend_USD
CA,244804100
PA,189263600
MI,140625500
GA,137286900
FL,113190700
WI,112818600
AZ,104024300
NC,100889400
TX,96350600
OH,83026100
NY,75996200
VA,67008500
NV,58729700
NJ,55355200
IL,51770400
CO,39213100
IA,38069800
MN,32029300
WA,28882700
OR,26042200
MT,25970300
MD,25263800
MA,25140000
SC,24036000
NH,21124100
MO,19771000
KY,19331700
ME,16393800
IN,16018400
TN,15842700
NE,14342900
CT,12630700
KS,10897100
AL,10850700
NM,10755200
DC,10438600
UT,9675900
OK,8924100
AK,8844100
LA,8836600
AR,6135600
MS,5846000
WV,5277900
ID,4541600
DE,3211700
HI,3170500
RI,2934600
VT,2265600
SD,1812700
ND,1529200
WY,1413000
PR,272800
VI,37300
GU,30400
AS,5700
MP,3900
